	ResponseId	MainBranch	Employment	Country	US_State	UK_Country	EdLevel	Age1stCode	LearnCode	YearsCode	YearsCodePro	DevType	OrgSize	Currency	CompTotal	CompFreq	LanguageHaveWorkedWith	LanguageWantToWorkWith	DatabaseHaveWorkedWith	DatabaseWantToWorkWith	PlatformHaveWorkedWith	PlatformWantToWorkWith	WebframeHaveWorkedWith	WebframeWantToWorkWith	MiscTechHaveWorkedWith	MiscTechWantToWorkWith	ToolsTechHaveWorkedWith	ToolsTechWantToWorkWith	NEWCollabToolsHaveWorkedWith	NEWCollabToolsWantToWorkWith	OpSys	NEWStuck	NEWSOSites	SOVisitFreq	SOAccount	SOPartFreq	SOComm	NEWOtherComms	Age	Gender	Trans	Sexuality	Ethnicity	Accessibility	MentalHealth	SurveyLength	SurveyEase	ConvertedCompYearly
21317	21318	I am a developer by profession	Employed full-time	Pakistan			Master’s degree (M.A., M.S., M.Eng., MBA, etc.)	25 - 34 years	Books / Physical media	7	5	Developer, mobile	20 to 99 employees	"PKR	Pakistani rupee"	160000.0	Monthly	C;Java;Swift	Swift	MySQL						Hadoop		Git	Git	Android Studio;Eclipse;Xcode	Xcode	MacOS	Visit Stack Overflow;Google it;Watch help / tutorial videos;Visit another developer community (please name):	Stack Overflow;Stack Exchange	Multiple times per day	Yes	Less than once per month or monthly	Neutral	Yes	25-34 years old	Man		Straight / Heterosexual	South Asian	None of the above	I have an anxiety disorder	Appropriate in length	Easy	12456.0
21580	21581	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Younger than 5 years	Other online resources (ex: videos, blogs, etc);Friend or family member;Colleague;Books / Physical media	5	4	Developer, full-stack;Developer, back-end	500 to 999 employees	"PKR	Pakistani rupee"			JavaScript;PHP	JavaScript;PHP	MySQL	Elasticsearch;Redis	AWS	AWS;Microsoft Azure	Laravel;React.js	Express;Laravel;React.js;Spring	React Native	Flutter;React Native	Docker;Git	Docker;Git;Kubernetes	Visual Studio Code	PHPStorm;Visual Studio Code;Webstorm	Linux-based	Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later	Stack Overflow;Stack Exchange	Multiple times per day	Yes	A few times per month or weekly	Yes, definitely	Yes	25-34 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	None of the above	Appropriate in length	Easy	
21626	21627	None of these	I prefer not to say	Pakistan			Something else	18 - 24 years	Friend or family member	5	5						Ruby	Matlab	Microsoft SQL Server	Microsoft SQL Server	DigitalOcean	DigitalOcean			.NET Framework;Flutter	.NET Framework;Flutter	Unity 3D	Unity 3D	Android Studio	Android Studio	Windows Subsystem for Linux (WSL)	Visit Stack Overflow;Panic;Visit another developer community (please name):;Other (please specify):	Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies)	A few times per week	Not sure/can't remember		Yes, somewhat	Yes	18-24 years old	Man;Woman;Non-binary, genderqueer, or gender non-conforming;Or, in your own words:	Yes	Prefer to self-describe:	White or of European descent;Southeast Asian;East Asian;Or, in your own words:;Indigenous (such as Native American, Pacific Islander, or Indigenous Australian)	None of the above	Or, in your own words:	Too long	Neither easy nor difficult	
21900	21901	I am a student who is learning to code	Student, full-time	Pakistan			Associate degree (A.A., A.S., etc.)	11 - 17 years	Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification	5							C++;HTML/CSS;PHP	Java;Python	MariaDB;MySQL;SQLite	MongoDB;PostgreSQL			Django;Laravel	Django	NumPy;Pandas	Flutter;TensorFlow			Android Studio;IntelliJ;PyCharm;Sublime Text;Visual Studio Code	Android Studio;IPython/Jupyter;Visual Studio Code	Linux-based	Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later;Panic	Stack Overflow;Stack Exchange	Daily or almost daily	Yes	I have never participated in Q&A on Stack Overflow	No, not really	No	18-24 years old	Man	No	Straight / Heterosexual	East Asian	None of the above	I have a mood or emotional disorder (e.g. depression, bipolar disorder)	Appropriate in length	Easy	
22366	22367	I am a developer by profession	Independent contractor, freelancer, or self-employed	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	11 - 17 years	School	8	4	Developer, mobile;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Database administrator;Developer, embedded applications or devices	Just me - I am a freelancer, sole proprietor, etc.	"USD	United States dollar"	300.0	Monthly	C#;Dart;Groovy;HTML/CSS;JavaScript;PHP;SQL;TypeScript	Python	Couchbase;Firebase;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;SQLite	Cassandra;MongoDB;Redis			Angular;Angular.js;ASP.NET;jQuery;Laravel;Vue.js	Django	Cordova;Flutter	TensorFlow	Ansible;Docker;Git;Kubernetes		Android Studio;Atom;Notepad++;Sublime Text;Visual Studio;Visual Studio Code	Xcode	Windows	Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later	Stack Overflow;Stack Exchange	A few times per week	Yes	Less than once per month or monthly	Not sure	Yes	25-34 years old	Man	No	Straight / Heterosexual	I don't know;South Asian	None of the above	None of the above	Too long	Easy	3600.0
22427	22428	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	18 - 24 years	Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification;Books / Physical media	9	5	Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end	1,000 to 4,999 employees	"PKR	Pakistani rupee"	181000.0	Monthly	HTML/CSS;Java;JavaScript	Java	Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL	Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL	Microsoft Azure	Microsoft Azure	Angular.js;jQuery;Spring	Angular;Angular.js;Spring			Git;Unity 3D	Docker;Git;Kubernetes	Android Studio;Atom;Eclipse;IntelliJ;Notepad++;Sublime Text	Atom;Eclipse;IntelliJ;IPython/Jupyter;Notepad++;Sublime Text	Windows	Visit Stack Overflow;Google it;Do other work and come back later;Play games;Visit another developer community (please name):	Stack Overflow	Multiple times per day	Yes	I have never participated in Q&A on Stack Overflow	Yes, somewhat	No	25-34 years old	Man	No	Straight / Heterosexual	Prefer not to say	Prefer not to say	None of the above	Appropriate in length	Easy	14088.0
22476	22477	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	18 - 24 years	School;Online Forum;Books / Physical media	7	3	Developer, mobile;Developer, front-end;Developer, back-end	2 to 9 employees	"PKR	Pakistani rupee"	30000.0	Monthly	C#;HTML/CSS;Java;PHP;Swift	C;C++;Java;Node.js;PHP;Swift	MongoDB;MySQL;SQLite	PostgreSQL	Microsoft Azure	Google Cloud Platform	jQuery				Xamarin		Android Studio;Eclipse;NetBeans;Sublime Text;Visual Studio;Visual Studio Code;Xcode	Android Studio;NetBeans;Visual Studio Code;Xcode	MacOS	Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos	Stack Overflow;Stack Exchange	Multiple times per day	Yes	A few times per week	Yes, definitely	Yes	25-34 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	None of the above	Appropriate in length	Easy	2340.0
22512	22513	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	18 - 24 years	Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification	7	4	Developer, full-stack	1,000 to 4,999 employees	"USD	United States dollar"	10000.0	Monthly	C#;HTML/CSS;JavaScript;Node.js;SQL;TypeScript	C#;HTML/CSS;JavaScript;Node.js;SQL;TypeScript	Firebase;Microsoft SQL Server;MongoDB;MySQL	Firebase;Microsoft SQL Server;MongoDB;MySQL	Microsoft Azure	Microsoft Azure	Angular;ASP.NET;ASP.NET Core ;Express;jQuery;React.js	Angular;ASP.NET;ASP.NET Core ;Express;jQuery;React.js	.NET Framework;.NET Core / .NET 5;React Native	.NET Framework;.NET Core / .NET 5;React Native	Git	Git	Android Studio;Atom;Eclipse;Rider;Sublime Text;Visual Studio;Visual Studio Code	Android Studio;Atom;Eclipse;Rider;Sublime Text;Visual Studio;Visual Studio Code	Windows	Call a coworker or friend;Go for a walk or other physical activity;Google it;Do other work and come back later	Stack Overflow;Stack Exchange	Multiple times per day	Yes	I have never participated in Q&A on Stack Overflow	Yes, somewhat	No	25-34 years old	Man	No		I don't know	None of the above	None of the above	Too long	Neither easy nor difficult	120000.0
22564	22565	I am a developer by profession	Not employed, and not looking for work	Pakistan			Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)	18 - 24 years	Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification	2							HTML/CSS;JavaScript;PHP;TypeScript	HTML/CSS;JavaScript;PHP;TypeScript	MySQL	Firebase;MongoDB;MySQL			Angular;jQuery;Laravel	Angular;Django;Laravel;Vue.js			Docker;Git	Docker;Git	Visual Studio Code	Visual Studio Code	Linux-based	Visit Stack Overflow;Google it	Stack Overflow;Stack Exchange	Multiple times per day	Yes	Less than once per month or monthly	Yes, somewhat		18-24 years old	Man		Straight / Heterosexual	Southeast Asian;South Asian	None of the above	None of the above	Appropriate in length	Easy	
22617	22618	I am a developer by profession	Student, part-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	18 - 24 years	Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification	3							C++;Java;Python;SQL	Dart;HTML/CSS;Java;JavaScript;PHP;Python;SQL	Firebase;Microsoft SQL Server;MySQL;SQLite	Firebase;Microsoft SQL Server;MySQL;SQLite	Microsoft Azure	AWS;Microsoft Azure;Oracle Cloud Infrastructure			NumPy;Pandas	Flutter;NumPy;Pandas	Git	Git	Android Studio;Visual Studio;Visual Studio Code	Android Studio;Visual Studio;Visual Studio Code	Windows	Visit Stack Overflow;Google it;Watch help / tutorial videos	Stack Overflow;Stack Exchange	Daily or almost daily	Yes	Less than once per month or monthly	Yes, definitely	No	18-24 years old	Man	No	Prefer not to say	I don't know	None of the above	Prefer not to say	Appropriate in length	Easy	
22693	22694	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	11 - 17 years	Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Online Courses or Certification;Colleague	5	1	Developer, front-end;Developer, full-stack;Developer, back-end;Designer	10 to 19 employees	"PKR	Pakistani rupee"		Monthly	C#;HTML/CSS;JavaScript;Node.js;PHP;Python;SQL;TypeScript	Dart;JavaScript;Node.js;Rust;TypeScript	MariaDB;Microsoft SQL Server;MongoDB;MySQL	MariaDB;MongoDB;MySQL	DigitalOcean;Heroku	DigitalOcean	ASP.NET;Express;jQuery;Vue.js	Express;React.js;Svelte;Vue.js	.NET Framework	Flutter	Git	Deno;Docker;Git;Yarn	Visual Studio;Visual Studio Code	Visual Studio Code	Windows	Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos	Stack Overflow	Daily or almost daily	Yes		Neutral	No	18-24 years old	Man	No					Too long		
22754	22755	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	25 - 34 years	School	10	5	Developer, front-end;Developer, full-stack;Developer, back-end	10,000 or more employees	"PKR	Pakistani rupee"	200000.0	Monthly	Bash/Shell;Java;JavaScript;Node.js;PowerShell;Python;SQL;TypeScript	Bash/Shell;C++;Dart;Go;Java;JavaScript;Kotlin;Node.js;Objective-C;PowerShell;Python;SQL;TypeScript	Elasticsearch;Firebase;MariaDB;MongoDB;MySQL;Oracle;PostgreSQL	Cassandra;Couchbase;DynamoDB;Elasticsearch;Firebase;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite	AWS	AWS;Google Cloud Platform;Heroku;IBM Cloud or Watson	Angular;Express;Flask;Gatsby;jQuery;React.js;Spring	Angular;Django;Express;FastAPI;Flask;jQuery;React.js;Spring;Symfony;Vue.js			Docker;Git	Ansible;Chef;Deno;Docker;Git;Kubernetes;Puppet;Terraform	Android Studio;Atom;IntelliJ;Notepad++;Vim;Visual Studio Code;Webstorm	Android Studio;Atom;IntelliJ;Notepad++;Vim;Visual Studio Code;Webstorm	Windows	Call a coworker or friend;Visit Stack Overflow;Google it;Panic;Visit another developer community (please name):	Stack Overflow;Stack Exchange	Multiple times per day	Yes	I have never participated in Q&A on Stack Overflow	Yes, somewhat	Yes	25-34 years old	Man	No	Straight / Heterosexual	Or, in your own words:	None of the above	I have a concentration and/or memory disorder (e.g. ADHD);I have a mood or emotional disorder (e.g. depression, bipolar disorder);I have an anxiety disorder	Appropriate in length	Easy	15564.0
22818	22819	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	11 - 17 years	Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Online Courses or Certification	4	1	Developer, front-end;Developer, full-stack;Developer, back-end;Developer, QA or test;DevOps specialist	2 to 9 employees	"PKR	Pakistani rupee"	70000.0	Monthly	HTML/CSS;Java;JavaScript;Node.js;PHP;SQL		Firebase;MySQL		Google Cloud Platform	AWS;Microsoft Azure	Express;jQuery;Laravel;React.js	Angular;Angular.js;Express;React.js;Vue.js			Git;Yarn		Visual Studio Code	Visual Studio;Xcode	Windows	Visit Stack Overflow;Google it;Watch help / tutorial videos;Panic;Visit another developer community (please name):	Stack Overflow;Stack Exchange	Multiple times per day	Yes	Daily or almost daily	Yes, somewhat	No	18-24 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	None of the above	Appropriate in length	Easy	5448.0
22898	22899	I am a student who is learning to code	Student, full-time	Pakistan			Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)	18 - 24 years	School	2							Assembly;C;C#;C++;HTML/CSS;Java;JavaScript;SQL	Kotlin;PHP;Python;Swift	MySQL;SQLite	Firebase			ASP.NET	Angular;Angular.js;jQuery;React.js	.NET Framework;NumPy;Pandas;Qt	Flutter			Android Studio;Atom;Eclipse;NetBeans;Notepad++;PyCharm;Sublime Text;Visual Studio;Visual Studio Code	Vim	Windows	Visit Stack Overflow;Google it;Do other work and come back later	Stack Overflow;Stack Exchange	Daily or almost daily	Yes	A few times per month or weekly	Yes, somewhat	No	18-24 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	None of the above	Appropriate in length	Easy	
22918	22919	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	18 - 24 years	School	10	5	Developer, mobile	20 to 99 employees	"PKR	Pakistani rupee"	200000.0	Monthly	JavaScript;Kotlin;Rust	Kotlin;Rust	Firebase;MySQL;SQLite	Elasticsearch;PostgreSQL;Redis	Google Cloud Platform	AWS;Heroku	React.js		React Native		Git;Yarn	Kubernetes	Android Studio;Visual Studio Code	Android Studio;Visual Studio Code	MacOS	Call a coworker or friend;Visit Stack Overflow;Google it;Do other work and come back later;Visit another developer community (please name):	Stack Overflow	Daily or almost daily	Yes	Less than once per month or monthly	Yes, somewhat	Yes	25-34 years old	Man	No	Straight / Heterosexual	Southeast Asian;South Asian	None of the above	None of the above	Appropriate in length	Easy	15564.0
23073	23074	I used to be a developer by profession, but no longer am	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	25 - 34 years	School;Online Courses or Certification	8	5	DevOps specialist					C#;JavaScript;Node.js;PowerShell;SQL	C#;JavaScript;Node.js;Python;SQL	Elasticsearch;Microsoft SQL Server;MongoDB;Redis	Cassandra;DynamoDB;Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis	Microsoft Azure	AWS;DigitalOcean;Google Cloud Platform;Microsoft Azure	Angular;Angular.js;ASP.NET Core ;Express;jQuery	ASP.NET Core ;Express	.NET Core / .NET 5	.NET Core / .NET 5	Git	Docker;Git;Kubernetes	Visual Studio;Visual Studio Code	Visual Studio;Visual Studio Code	Windows	Visit Stack Overflow;Google it;Do other work and come back later	Stack Overflow	A few times per month or weekly	Yes	Less than once per month or monthly	Neutral	No	Prefer not to say	Prefer not to say	Prefer not to say	Prefer not to say	Prefer not to say	Prefer not to say	Prefer not to say	Too long	Neither easy nor difficult	
23100	23101	I am a student who is learning to code	Not employed, but looking for work	Pakistan			Master’s degree (M.A., M.S., M.Eng., MBA, etc.)	25 - 34 years	Other online resources (ex: videos, blogs, etc);Friend or family member;Online Courses or Certification;Colleague;Books / Physical media	Less than 1 year		Developer, mobile					C++;Dart;Java	Dart;Node.js;Scala	Firebase	Firebase;MongoDB;MySQL;SQLite					Flutter	Flutter	Git	Git	Android Studio;Sublime Text	Android Studio;Sublime Text	Windows	Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos	Stack Overflow;Stack Exchange	Multiple times per day	Yes	A few times per week	Neutral	No	25-34 years old	Man	No	Prefer not to say	South Asian	None of the above	None of the above	Appropriate in length	Neither easy nor difficult	
23158	23159	I am a developer by profession	Independent contractor, freelancer, or self-employed	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	11 - 17 years	Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification	10	4	Developer, QA or test	Just me - I am a freelancer, sole proprietor, etc.	"USD	United States dollar"		Monthly	C#;Java	C#	Microsoft SQL Server;MySQL;PostgreSQL;SQLite	PostgreSQL			ASP.NET Core 	ASP.NET Core 	.NET Core / .NET 5	.NET Core / .NET 5	Unity 3D		Android Studio;Atom;Visual Studio	Android Studio;Visual Studio	Windows	Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later	Stack Overflow;Stack Exchange	Daily or almost daily	Yes	Less than once per month or monthly	Yes, somewhat	No	25-34 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	None of the above	Too long	Neither easy nor difficult	
23170	23171	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	18 - 24 years	Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification;Books / Physical media	5	Less than 1 year	Engineer, data;Data or business analyst	1,000 to 4,999 employees	"PKR	Pakistani rupee"	70000.0	Monthly	SQL	Python;R;Scala	Microsoft SQL Server	Microsoft SQL Server;MongoDB;MySQL	Microsoft Azure	AWS;Microsoft Azure							Visual Studio Code	RStudio;Visual Studio Code	Windows	Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Play games	Stack Overflow;Stack Exchange	Daily or almost daily	Yes	I have never participated in Q&A on Stack Overflow	No, not at all	No	18-24 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	None of the above	Appropriate in length	Easy	5448.0
23241	23242	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	11 - 17 years	Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification;Books / Physical media	10	2	Developer, front-end;Developer, full-stack;Developer, back-end	2 to 9 employees	"PKR	Pakistani rupee"	100000.0	Monthly	C#;JavaScript	C#;JavaScript;TypeScript	Microsoft SQL Server	Firebase;Microsoft SQL Server;PostgreSQL;Redis	AWS;Google Cloud Platform;Microsoft Azure	AWS;Google Cloud Platform;Microsoft Azure	ASP.NET;ASP.NET Core ;React.js	Angular;Angular.js;ASP.NET;ASP.NET Core ;React.js	.NET Framework;.NET Core / .NET 5;React Native	.NET Core / .NET 5;React Native			Visual Studio;Visual Studio Code	Visual Studio;Visual Studio Code	Windows	Visit Stack Overflow;Google it;Other (please specify):	Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies)	Multiple times per day	Yes	I have never participated in Q&A on Stack Overflow	Yes, definitely	No	18-24 years old	Man	No	Straight / Heterosexual	Southeast Asian;South Asian	None of the above	I have a concentration and/or memory disorder (e.g. ADHD)	Appropriate in length	Easy	7788.0
23355	23356	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	18 - 24 years	Other online resources (ex: videos, blogs, etc);Online Courses or Certification;Other (please specify):	4	3	Developer, front-end	2 to 9 employees	"USD	United States dollar"	600.0	Monthly	HTML/CSS;JavaScript;Node.js	Assembly;Bash/Shell;C++;HTML/CSS;JavaScript;Node.js					React.js	React.js	Qt	React Native	Git	Git	Notepad++;Visual Studio Code	Notepad++;Visual Studio Code	Windows	Visit Stack Overflow;Google it;Do other work and come back later	Stack Overflow;Stack Exchange	Multiple times per day	Yes	Less than once per month or monthly	Neutral	No	25-34 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	None of the above	Too long	Easy	7200.0
23505	23506	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	18 - 24 years	Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Online Courses or Certification;Colleague;Books / Physical media	4	1	Developer, full-stack	100 to 499 employees	"PKR	Pakistani rupee"	100000.0	Monthly	C++;HTML/CSS;JavaScript;Node.js;PHP;SQL;Swift	C++;HTML/CSS;JavaScript;Node.js;PHP;SQL;Swift	Firebase;MongoDB;MySQL	Firebase;MongoDB;MySQL	AWS;DigitalOcean;Microsoft Azure	AWS;DigitalOcean;Microsoft Azure	Express;jQuery;Laravel;React.js;Vue.js	Express;jQuery;Laravel;React.js;Vue.js			Docker;Git	Docker;Git	Atom;NetBeans;Notepad++;PHPStorm;Sublime Text;Vim;Visual Studio;Visual Studio Code;Xcode	Atom;NetBeans;Notepad++;PHPStorm;Sublime Text;Vim;Visual Studio;Visual Studio Code;Xcode	Linux-based	Visit Stack Overflow;Google it;Watch help / tutorial videos;Visit another developer community (please name):	Stack Overflow;Stack Exchange	Multiple times per day	Yes	A few times per week	Yes, definitely	Yes	18-24 years old	Man	No	Straight / Heterosexual	East Asian	None of the above	None of the above	Appropriate in length	Neither easy nor difficult	7788.0
23601	23602	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	11 - 17 years	Other online resources (ex: videos, blogs, etc);School;Friend or family member;Books / Physical media	5	1	Developer, front-end;Developer, full-stack;Developer, back-end	100 to 499 employees	"PKR	Pakistani rupee"	65000.0	Monthly	Assembly;C;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;Matlab;Node.js;Objective-C;PHP;Python;R;SQL;Swift;VBA	Dart;TypeScript	DynamoDB;Firebase;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite	Cassandra;Couchbase;MariaDB;Redis	AWS;Heroku	DigitalOcean;Google Cloud Platform;IBM Cloud or Watson;Microsoft Azure;Oracle Cloud Infrastructure	Django;Express;Flask;Gatsby;React.js	Angular;Angular.js;Laravel;Ruby on Rails;Spring;Vue.js	Apache Spark;Hadoop;Keras;NumPy;Pandas;Qt;React Native;TensorFlow	.NET Framework;.NET Core / .NET 5;Cordova;Flutter;Torch/PyTorch	Docker;Git;Unreal Engine;Yarn	Deno;Pulumi;Puppet;Terraform;Unity 3D;Xamarin	Android Studio;Atom;Eclipse;IntelliJ;IPython/Jupyter;NetBeans;Notepad++;PyCharm;RStudio;Sublime Text;Vim;Visual Studio;Visual Studio Code;Xcode	RubyMine;Webstorm	Windows	Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Play games;Visit another developer community (please name):	Stack Overflow;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies)	A few times per month or weekly	Yes	Less than once per month or monthly	Yes, somewhat	Yes	18-24 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	None of the above	Appropriate in length	Easy	5064.0
23612	23613	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	18 - 24 years	Other online resources (ex: videos, blogs, etc);Friend or family member;Online Courses or Certification;Books / Physical media	3	2	Developer, full-stack	2 to 9 employees	"PKR	Pakistani rupee"	40000.0	Monthly	Java;JavaScript	Java	MySQL;SQLite	MongoDB	Heroku	Google Cloud Platform	React.js;Spring	React.js			Git;Yarn	Git	Android Studio;Atom;Eclipse;IntelliJ;Visual Studio Code;Xcode	Android Studio;Eclipse;Visual Studio Code;Xcode	Windows	Google it;Watch help / tutorial videos;Panic	Stack Overflow	Multiple times per day	Yes	I have never participated in Q&A on Stack Overflow	Yes, definitely	No	18-24 years old	Man	No	Straight / Heterosexual	East Asian	I am unable to / find it difficult to walk or stand without assistance	None of the above	Appropriate in length	Neither easy nor difficult	3108.0
23706	23707	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	18 - 24 years	Other online resources (ex: videos, blogs, etc);School;Friend or family member;Online Courses or Certification;Colleague;Books / Physical media	5	1	Developer, mobile;Developer, front-end;Developer, full-stack;Developer, back-end	10 to 19 employees	"PKR	Pakistani rupee"	70000.0	Monthly	C#;C++;HTML/CSS;JavaScript;Node.js;SQL	C#;Go;HTML/CSS;JavaScript;Node.js;SQL	Firebase;Microsoft SQL Server;MySQL	Microsoft SQL Server;MongoDB	Heroku	Heroku;Microsoft Azure	ASP.NET;ASP.NET Core ;Express;jQuery;React.js	ASP.NET;ASP.NET Core ;Express;React.js	.NET Framework;.NET Core / .NET 5;React Native	.NET Framework;.NET Core / .NET 5;Flutter;React Native	Git	Git	Android Studio;Atom;Notepad++;Visual Studio;Visual Studio Code;Xcode	Android Studio;Notepad++;Visual Studio;Visual Studio Code;Xcode	Windows	Visit Stack Overflow;Google it;Watch help / tutorial videos;Panic;Visit another developer community (please name):	I have never visited Stack Overflow or the Stack Exchange network					No	18-24 years old	Man	No	Straight / Heterosexual	Southeast Asian;South Asian;East Asian	None of the above	None of the above	Too long	Difficult	5448.0
23727	23728	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	18 - 24 years	Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification;Colleague;Books / Physical media	4	3	Developer, front-end;Developer, full-stack	10 to 19 employees	"PKR	Pakistani rupee"	85000.0	Monthly	HTML/CSS;JavaScript	HTML/CSS;JavaScript;Node.js;PowerShell;Python;SQL;TypeScript					Vue.js	Express;Svelte;Vue.js			Git;Yarn	Docker;Git;Yarn	Visual Studio Code	Visual Studio Code	Windows	Visit Stack Overflow;Google it;Do other work and come back later	Stack Overflow;Stack Exchange	Daily or almost daily	Yes	Less than once per month or monthly	Not sure	Yes	25-34 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	None of the above	Appropriate in length	Easy	6612.0
23750	23751	I am a developer by profession	Employed full-time	Pakistan			Master’s degree (M.A., M.S., M.Eng., MBA, etc.)	18 - 24 years	Other (please specify):	20	14	Data scientist or machine learning specialist;Developer, back-end	500 to 999 employees	"PKR	Pakistani rupee"	5000000.0	Yearly	C#;C++;Matlab;Python;SQL;VBA	Python;R	Elasticsearch;Microsoft SQL Server;MySQL	Elasticsearch;MongoDB;Redis					.NET Framework;Keras;NumPy;Pandas;TensorFlow	Keras;NumPy;Pandas;TensorFlow;Torch/PyTorch	Git	Docker;Git	IPython/Jupyter;PyCharm;Vim	IPython/Jupyter;PyCharm;RStudio;Vim	MacOS	Visit Stack Overflow;Google it	Stack Overflow;Stack Exchange	A few times per month or weekly	Yes	Less than once per month or monthly	Yes, somewhat	No	35-44 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	None of the above	Appropriate in length	Neither easy nor difficult	32426.0
